,0
0,Connecticut
1,Louisiana
2,Nevada
3,Vermont
4,Utah
5,Nebraska
6,Delaware
7,Massachusetts
8,Pennsylvania
9,Virginia
10,South Carolina
11,Washington
12,New Hampshire
13,Oregon
14,Minnesota
15,South Dakota
16,Ohio
17,New York
18,Wyoming
19,Oklahoma
20,Kansas
21,Kentucky
22,Michigan
23,Rhode Island
24,Maryland
25,New Mexico
26,North Dakota
27,Illinois
28,Montana
29,Alabama
30,North Carolina
31,Missouri
32,Tennessee
33,Indiana
34,Idaho
35,Iowa
36,Maine
37,Mississippi
38,West Virginia
39,Georgia
40,Arkansas
41,Wisconsin
42,New Jersey
